Source,Target,Type,Kind,Id,Label,timeset,Weight
1267882966459584514,https://www.theguardian.com/football/2020/jun/02/newcastles-deandre-yedlin-feels-us-is-an-unsafe-place-for-a-young-black-man?utm_term=Autofeed&CMP=twt_gu&utm_medium&utm_source=Twitter#Echobox=1591121829,Directed,Has_link,1205,,"<[2020-06-02T18:21:43.346Z, 2020-06-02T18:21:46.624Z, 2020-06-02T18:21:59.368Z, 2020-06-02T18:22:17.226Z, 2020-06-02T18:22:30.053Z]>",1
@jimtravers6,@guardian,Directed,Retweets_from,1206,,<[2020-06-02T18:21:43.346Z]>,1
@jimtravers6,1267882966459584514,Directed,Retweets,1207,,<[2020-06-02T18:21:43.346Z]>,1
@josh_cameron15,1267884092881854464,Directed,Tweets,1208,,<[2020-06-02T18:21:43.756Z]>,1
1267884092881854464,"#blm",Directed,Has_hashtag,1209,,<[2020-06-02T18:21:43.756Z]>,1
@andreatalk,1267821877575053314,Directed,Tweets,1210,,<[2020-06-02T18:21:43.757Z]>,1
1267821877575053314,http://pbs.twimg.com/media/EZg1Q_6U4AAW8vW.jpg,Directed,Has_media,1211,,<[2020-06-02T18:21:43.757Z]>,1
@josh_cameron15,@andreatalk,Directed,Quotes_from,1212,,<[2020-06-02T18:21:43.757Z]>,1
@josh_cameron15,1267821877575053314,Directed,Quotes,1213,,<[2020-06-02T18:21:43.757Z]>,1
@papaletaaa9,1267884094509252619,Directed,Tweets,1214,,<[2020-06-02T18:21:44.166Z]>,1
@nathan_mvy,1267758691396313089,Directed,Tweets,1215,,<[2020-06-02T18:21:44.166Z]>,1
@lepopu_sports,1267744616142516226,Directed,Tweets,1216,,"<[2020-06-02T18:21:44.166Z, 2020-06-02T18:21:44.167Z]>",1
1267744616142516226,https://www.lepopulaire.fr/limoges-87000/sports/un-ex-joueur-du-limoges-fc-et-de-la-ja-isle-rejoint-un-club-de-national-3_13795146/,Directed,Has_link,1217,,"<[2020-06-02T18:21:44.166Z, 2020-06-02T18:21:44.167Z]>",1
1267744616142516226,http://pbs.twimg.com/media/EZfu--UXgAAbC__.jpg,Directed,Has_media,1218,,"<[2020-06-02T18:21:44.166Z, 2020-06-02T18:21:44.167Z]>",1
@nathan_mvy,@lepopu_sports,Directed,Quotes_from,1219,,<[2020-06-02T18:21:44.166Z]>,1
@nathan_mvy,1267744616142516226,Directed,Quotes,1220,,<[2020-06-02T18:21:44.166Z]>,1
@papaletaaa9,@nathan_mvy,Directed,Retweets_from,1221,,<[2020-06-02T18:21:44.166Z]>,1
@papaletaaa9,1267758691396313089,Directed,Retweets,1222,,<[2020-06-02T18:21:44.166Z]>,1
@papaletaaa9,@lepopu_sports,Directed,Quotes_from,1223,,<[2020-06-02T18:21:44.167Z]>,1
